Time (s),Velocity Beam 1 (m/s),Velocity Beam 2 (m/s),Velocity Beam 3 (m/s),Velocity Beam 4 (m/s)
1720611606.337,"[0.1773, 0.0877, 0.1097]","[0.0115, -0.0577, -0.062]","[-0.0656, -0.0964, -0.1967]","[0.0006, 0.0081, 0.0483]"
1720611606.352,"[0.1255, 0.0343, -0.0107]","[-0.1744, -0.3385, -0.0353]","[-0.23, 0.3918, -0.322]","[0.0297, -0.1539, -0.3402]"
1720611606.368,"[0.2756, 0.2243, 0.2776]","[0.002, -0.0832, -0.0499]","[-0.0642, -0.1926, -0.2004]","[0.2213, 0.0717, 0.0071]"
1720611606.368,"[0.2625, 0.3057, 0.3111]","[0.0212, 0.0805, 0.0902]","[0.0334, -0.0381, -0.0484]","[0.1951, 0.1995, 0.2232]"
1720611606.383,"[0.3031, 0.3676, 0.2847]","[0.08, 0.1346, 0.1107]","[-0.0145, 0.0228, 0.0116]","[0.2739, 0.2552, 0.2054]"
1720611606.399,"[0.2467, 0.282, 0.2703]","[-0.0236, 0.0937, 0.1031]","[-0.0524, 0.0177, -0.0003]","[0.0359, 0.2207, 0.1944]"
1720611606.399,"[0.095, 0.1414, 0.2479]","[-0.1249, -0.0044, 0.0627]","[-0.1474, -0.1198, -0.0186]","[0.0835, 0.099, 0.113]"
1720611606.414,"[0.2004, 0.2206, 0.2164]","[-0.04, 0.0035, -0.0352]","[-0.1626, -0.0923, -0.1713]","[0.0366, 0.1216, 0.1186]"
1720611606.414,"[0.0333, 0.249, 0.214]","[-0.1602, -0.0081, -0.0542]","[-0.1199, -0.072, -0.193]","[0.025, 0.19, 0.0898]"
1720611606.43,"[0.0717, 0.196, 0.1542]","[-0.0366, -0.0071, -0.014]","[-0.102, -0.0799, -0.0731]","[0.0431, 0.1299, 0.0774]"
1720611606.446,"[0.115, 0.1557, 0.1]","[-0.0527, -0.0387, -0.0505]","[-0.0801, -0.096, -0.0761]","[-0.0029, 0.0913, 0.0358]"
1720611606.452,"[0.0793, -0.0576, 0.2194]","[-0.0877, -0.1906, 0.0442]","[-0.2012, -0.1818, -0.0496]","[-0.0274, -0.0362, 0.1388]"
1720611606.468,"[0.0286, -0.017, -0.097]","[-0.1679, -0.1759, -0.2093]","[-0.1619, -0.166, -0.0777]","[-0.0381, -0.0094, -0.0256]"
1720611606.484,"[0.0476, -0.0405, 0.0187]","[-0.1517, -0.2241, -0.2342]","[-0.2059, -0.2419, -0.2647]","[-0.0494, -0.1337, -0.1533]"
1720611606.484,"[0.0305, -0.0057, 0.0124]","[-0.1361, -0.132, -0.1092]","[-0.2255, -0.2003, -0.1428]","[0.0108, 0.0129, -0.0584]"
1720611606.499,"[0.054, 0.115, 0.1571]","[-0.0644, -0.0299, -0.1294]","[-0.1217, -0.0851, -0.083]","[0.0408, 0.1227, -0.1935]"
1720611606.499,"[0.1555, 0.1382, 0.1268]","[-0.003, -0.0059, -0.0483]","[-0.0511, -0.0455, -0.0587]","[0.0691, 0.068, 0.1275]"
1720611606.515,"[0.1619, 0.1625, 0.1126]","[0.0501, 0.0209, -0.0292]","[0.0091, -0.0263, -0.0828]","[-0.3906, -0.0281, 0.0069]"
1720611606.515,"[0.2022, 0.1654, 0.1251]","[0.0864, -0.0031, -0.0106]","[0.0172, -0.0864, -0.092]","[0.25, 0.098, 0.0389]"
1720611606.53,"[0.2035, 0.1022, 0.1053]","[0.054, -0.1571, -0.0554]","[-0.0786, -0.1992, -0.1447]","[0.0909, -0.043, 0.0338]"
1720611606.546,"[0.1205, 0.0339, 0.0956]","[-0.1162, -0.1682, -0.0037]","[-0.1848, -0.2236, -0.0282]","[-0.0595, -0.0983, -0.1877]"
1720611606.553,"[0.1272, 0.0551, 0.0965]","[-0.1111, -0.1771, 0.0243]","[-0.268, -0.2394, -0.014]","[-0.0388, 0.0551, 0.0342]"
1720611606.568,"[0.0247, 0.1118, 0.1256]","[-0.166, -0.1056, 0.0272]","[-0.1042, -0.0824, -0.0509]","[0.0697, 0.0584, 0.0421]"
1720611606.568,"[0.038, 0.1247, 0.226]","[-0.1189, 0.0102, 0.0991]","[-0.034, -0.0272, 0.032]","[0.0169, 0.0783, 0.1677]"
1720611606.584,"[0.1506, 0.1143, 0.1747]","[0.0114, 0.0364, 0.0376]","[0.1517, -0.0086, 0.0047]","[0.1799, 0.0706, 0.0954]"
1720611606.599,"[0.202, 0.1706, 0.1516]","[0.0443, 0.0711, 0.0053]","[0.031, 0.0316, -0.0323]","[0.1598, 0.1093, 0.0423]"
1720611606.599,"[0.244, 0.203, 0.1762]","[0.1217, 0.1455, 0.0651]","[-0.0006, 0.0397, 0.0104]","[0.124, 0.1012, 0.068]"
1720611606.615,"[0.2764, 0.2389, 0.0962]","[0.2137, 0.1966, -0.0074]","[0.0465, 0.0813, -0.2031]","[0.1021, 0.1357, 0.1317]"
1720611606.615,"[0.2508, 0.2232, 0.2979]","[0.03, 0.0102, 0.0619]","[0.0344, 0.0085, -0.1479]","[0.2121, 0.2171, 0.1452]"
1720611606.646,"[0.2121, 0.2403, 0.1814]","[0.1161, -0.0491, -0.0519]","[-0.0181, -0.0585, -0.1627]","[0.1435, 0.0918, 0.1291]"
1720611606.646,"[0.2591, 0.3234, 0.3158]","[0.0508, 0.0579, -0.0342]","[-0.0313, -0.0641, 0.0006]","[0.1141, 0.184, 0.1395]"
1720611606.653,"[0.2692, 0.3062, 0.3435]","[0.0735, 0.0621, 0.0696]","[-0.0387, -0.0054, 0.0207]","[0.1855, 0.2059, 0.2442]"
1720611606.669,"[0.2523, 0.262, 0.2608]","[0.0306, 0.0137, 0.1203]","[-0.0683, -0.1003, 0.0296]","[0.1355, 0.1766, 0.1869]"
1720611606.669,"[0.1904, 0.198, 0.0976]","[-0.0022, -0.0367, -0.0963]","[-0.2083, -0.1801, -0.1894]","[0.0488, 0.0436, -0.0132]"
1720611606.684,"[0.1632, 0.0733, -0.0227]","[-0.0368, -0.1531, -0.2055]","[-0.2059, -0.2162, -0.1816]","[0.0212, 0.0621, -0.0542]"
1720611606.684,"[0.1332, -0.0428, 0.0564]","[-0.0573, -0.1813, -0.133]","[-0.3733, -0.3006, -0.2521]","[-0.0759, -0.0519, -0.0274]"
1720611606.7,"[-0.0004, -0.165, 0.0276]","[-0.2543, -0.3666, -0.1668]","[-0.3024, -0.376, -0.324]","[-0.1529, -0.1993, -0.1583]"
1720611606.715,"[0.0116, -0.0767, -0.0163]","[-0.1738, -0.2209, -0.1518]","[-0.1639, -0.227, -0.2471]","[0.0124, -0.1153, -0.142]"
1720611606.715,"[0.0094, -0.1133, -0.0895]","[-0.163, -0.2239, -0.165]","[-0.2309, -0.3204, -0.2516]","[0.0331, -0.2241, -0.1982]"
1720611606.731,"[-0.0988, -0.1053, -0.0198]","[-0.2256, -0.1849, -0.098]","[-0.1125, -0.2669, -0.2543]","[-0.1896, -0.1951, -0.1568]"
1720611606.747,"[-0.0328, -0.1447, -0.1081]","[-0.1456, -0.2086, -0.1644]","[-0.0672, -0.2802, -0.2649]","[0.0283, -0.194, -0.1766]"
1720611606.753,"[0.0674, 0.0769, -0.0637]","[-0.002, -0.1857, -0.1282]","[-0.0822, -0.1486, -0.1806]","[0.0488, -0.079, -0.1009]"
1720611606.769,"[0.0649, 0.0144, 0.0337]","[-0.027, -0.0829, -0.0508]","[-0.155, -0.1776, -0.1124]","[0.0431, -0.0584, -0.0215]"
1720611606.769,"[0.0185, 0.1216, 0.0202]","[-0.0268, -0.0331, -0.0443]","[-0.1317, -0.1013, -0.2172]","[-0.0155, 0.0295, -0.0517]"
1720611606.785,"[0.1279, 0.1975, 0.1227]","[0.0308, 0.0267, -0.0121]","[-0.064, -0.0715, -0.1558]","[0.0345, 0.0839, -0.014]"
1720611606.8,"[0.01, 0.0169, 0.034]","[-0.0717, -0.0362, -0.0411]","[0.3534, -0.125, -0.1522]","[-0.0551, -0.1098, -0.0528]"
1720611606.8,"[0.0851, -0.2299, -0.177]","[-0.1212, -0.3397, -0.3172]","[-0.1631, 0.341, 0.3721]","[0.0275, 0.4085, -0.3849]"
1720611606.816,"[0.0958, 0.1556, 0.1688]","[-0.0505, -0.0637, 0.0186]","[-0.0656, -0.0344, -0.2428]","[-0.0529, 0.0975, 0.022]"
1720611606.816,"[0.2862, 0.0076, 0.1597]","[0.1684, -0.129, -0.0868]","[-0.0137, -0.1423, -0.1405]","[-0.3055, -0.0917, 0.0051]"
1720611606.831,"[0.0409, -0.1861, 0.05]","[-0.2395, -0.2091, -0.1097]","[-0.2097, -0.1696, -0.1423]","[-0.3085, -0.1465, -0.0979]"
1720611606.847,"[-0.1362, -0.2214, -0.0727]","[-0.2446, -0.2856, -0.2042]","[0.0912, 0.0314, 0.0255]","[-0.2437, -0.2839, -0.1621]"
1720611606.854,"[-0.1558, -0.1305, 0.0743]","[-0.2636, -0.2031, -0.2286]","[0.0493, -0.37, 0.1256]","[-0.2155, -0.297, -0.2041]"
1720611606.869,"[-0.0829, 0.0023, 0.0607]","[-0.1834, -0.0625, -0.0817]","[-0.228, -0.2683, -0.2616]","[-0.1478, -0.2019, -0.0014]"
1720611606.869,"[-0.1059, -0.0952, 0.1051]","[-0.1669, -0.117, -0.0583]","[-0.205, -0.1941, -0.2647]","[-0.1706, -0.1755, -0.0522]"
1720611606.885,"[-0.0899, -0.0837, 0.0911]","[-0.0849, -0.1676, 0.0501]","[-0.1947, -0.2453, -0.0789]","[-0.2089, -0.1963, -0.0174]"
1720611606.885,"[-0.1328, -0.0342, 0.0699]","[-0.0853, -0.083, -0.0362]","[-0.1717, -0.1661, -0.0869]","[-0.187, -0.1281, -0.0292]"
1720611606.9,"[-0.0555, -0.0758, -0.0097]","[-0.0819, -0.129, -0.0597]","[-0.1315, -0.1603, -0.1243]","[-0.1744, -0.1414, -0.0856]"
1720611606.916,"[-0.0875, -0.0446, -0.0094]","[-0.0382, -0.1245, -0.1187]","[-0.1192, -0.1424, -0.1561]","[-0.0833, -0.1097, -0.1034]"
1720611606.916,"[-0.1245, -0.0455, -0.014]","[-0.0499, -0.0557, -0.0936]","[-0.0854, -0.0877, -0.1616]","[-0.0755, -0.088, -0.0941]"
1720611606.932,"[-0.0659, -0.0532, -0.0566]","[-0.0447, -0.0341, -0.1526]","[-0.0672, -0.0567, -0.1944]","[-0.0253, -0.0562, -0.1086]"
1720611606.947,"[-0.0004, -0.0027, 0.0455]","[-0.0123, -0.0095, 0.0243]","[0.0113, -0.009, -0.0702]","[0.0196, -0.0081, 0.004]"
1720611606.97,"[-0.0175, 0.0069, 0.1125]","[-0.0544, -0.0176, 0.0764]","[-0.1135, -0.0037, 0.0004]","[-0.0914, 0.0158, 0.0666]"
1720611606.97,"[0.0705, 0.0157, 0.1032]","[0.0182, -0.0304, 0.0221]","[-0.0327, -0.0859, -0.0254]","[0.0532, -0.0125, 0.0173]"
1720611606.97,"[0.0619, 0.0109, 0.1174]","[0.0465, -0.0052, 0.0178]","[-0.0048, -0.0407, -0.0005]","[0.075, 0.0038, 0.0359]"
1720611606.985,"[0.1227, 0.0466, 0.1396]","[0.0027, -0.0265, 0.0526]","[-0.04, -0.0881, 0.0052]","[0.0559, 0.0286, 0.0678]"
1720611606.985,"[0.0575, -0.0472, 0.1832]","[-0.052, -0.0723, 0.0714]","[-0.0788, -0.1147, 0.004]","[0.0137, 0.0128, 0.0615]"
1720611607.001,"[0.0314, -0.0338, 0.0856]","[-0.0151, -0.0899, 0.0126]","[0.2086, -0.0761, -0.0051]","[-0.0265, -0.0417, 0.004]"
1720611607.016,"[0.0103, 0.0057, 0.1075]","[-0.0531, -0.0764, -0.0613]","[-0.1057, -0.0963, -0.0818]","[0.0197, -0.036, 0.1712]"
1720611607.016,"[0.0065, -0.0074, 0.0252]","[-0.065, -0.0598, -0.0396]","[-0.0943, -0.0881, -0.165]","[-0.0144, -0.0465, 0.008]"
1720611607.032,"[0.0227, 0.0353, -0.1234]","[-0.0154, 0.0507, -0.0332]","[-0.0302, -0.0331, -0.0137]","[0.0422, 0.017, 0.3453]"
1720611607.048,"[0.0236, 0.1322, 0.0867]","[0.0121, 0.0453, -0.0353]","[-0.051, -0.0174, 0.0346]","[-0.001, 0.0608, 0.0532]"
1720611607.054,"[0.0367, 0.0876, 0.0649]","[-0.0116, 0.0078, 0.0182]","[-0.0087, -0.0498, 0.023]","[0.0541, 0.0214, 0.0506]"
1720611607.054,"[0.0646, 0.0254, -0.0338]","[0.012, -0.039, 0.0262]","[-0.0203, -0.0619, 0.0297]","[0.0537, -0.0039, 0.029]"
1720611607.07,"[0.0678, 0.0384, -0.0222]","[0.04, -0.0722, 0.0156]","[0.0175, 0.035, 0.0339]","[0.0138, -0.0832, 0.0883]"
1720611607.085,"[0.0821, 0.0936, 0.0479]","[0.0916, 0.0578, -0.0099]","[0.101, 0.097, 0.0709]","[0.0321, 0.103, 0.1307]"
1720611607.085,"[0.1522, 0.1612, 0.2507]","[0.1168, 0.1073, -0.0013]","[0.0737, 0.1299, 0.0263]","[0.1716, 0.1871, 0.1571]"
1720611607.101,"[0.1712, 0.2025, 0.1139]","[0.0984, 0.1559, 0.0372]","[0.0595, 0.1595, 0.1013]","[0.1577, 0.2081, 0.1777]"
1720611607.132,"[0.1865, 0.1771, 0.0798]","[0.0765, 0.0578, 0.0157]","[0.0185, 0.054, -0.0297]","[0.1701, 0.1536, 0.0807]"
1720611607.132,"[0.1599, 0.1039, 0.0609]","[0.0624, -0.0282, -0.0451]","[0.1074, -0.0583, -0.0316]","[-0.0143, 0.0389, 0.1112]"
1720611607.132,"[0.1703, 0.0773, 0.0665]","[0.0249, -0.013, -0.036]","[-0.017, -0.0398, -0.0348]","[-0.0018, 0.0342, 0.0661]"
1720611607.148,"[0.3829, -0.1582, 0.0698]","[-0.0032, 0.0425, -0.0632]","[-0.0104, -0.0139, -0.051]","[0.0956, 0.1025, 0.057]"
1720611607.154,"[0.1252, 0.141, 0.0864]","[-0.0065, -0.0282, -0.0118]","[-0.0291, -0.0319, -0.0399]","[0.1023, 0.0966, 0.0478]"
1720611607.154,"[0.1212, 0.0728, 0.1538]","[0.0236, 0.0223, 0.0087]","[-0.0788, -0.0864, -0.0285]","[0.015, 0.0501, 0.0855]"
1720611607.17,"[0.0419, 0.0634, 0.0352]","[-0.0214, -0.014, -0.0296]","[-0.0863, -0.0504, -0.0702]","[-0.0019, 0.0357, 0.0309]"
1720611607.186,"[0.0196, 0.0437, 0.034]","[-0.0333, -0.0149, -0.062]","[-0.0809, -0.0764, -0.0907]","[-0.0219, -0.0062, 0.0122]"
1720611607.186,"[-0.0131, 0.0052, 0.005]","[-0.0688, -0.0529, -0.0665]","[-0.1575, -0.0942, -0.0903]","[-0.0456, -0.0406, -0.0218]"
1720611607.201,"[0.0001, -0.0086, -0.0138]","[-0.0787, -0.0647, -0.0727]","[-0.1512, -0.1065, -0.0924]","[-0.0564, -0.052, -0.0082]"
1720611607.217,"[-0.0007, 0.0093, 0.033]","[-0.0344, -0.0634, -0.0629]","[-0.0855, -0.0916, -0.0934]","[-0.0616, -0.0305, -0.0122]"
1720611607.217,"[0.0238, 0.0214, -0.0166]","[0.0141, -0.0279, -0.0537]","[-0.0663, -0.0482, -0.0989]","[-0.0035, -0.0067, 0.0031]"
1720611607.233,"[0.0828, 0.0819, 0.0363]","[0.0571, 0.1072, 0.018]","[0.0187, -0.0345, -0.0467]","[0.0702, 0.0361, -0.0049]"
1720611607.248,"[0.117, 0.1396, 0.0792]","[0.0174, 0.0645, 0.0019]","[-0.0303, -0.0023, -0.0876]","[0.0509, 0.0644, -0.0455]"
1720611607.255,"[0.1126, 0.0943, 0.1752]","[0.0, 0.0016, 0.0793]","[-0.0688, -0.0726, -0.043]","[0.015, 0.0375, 0.0437]"
1720611607.255,"[0.1064, 0.0732, 0.1071]","[0.0111, 0.0019, 0.0133]","[-0.0612, -0.0723, -0.0532]","[0.0312, 0.02, 0.0372]"
1720611607.286,"[0.0816, 0.1283, 0.1249]","[0.0137, 0.0153, -0.0049]","[-0.0832, -0.0575, -0.054]","[-0.0496, 0.0808, 0.0571]"
1720611607.286,"[0.1619, 0.2228, -0.0634]","[0.0953, 0.0849, -0.0747]","[-0.0718, 0.0106, -0.1149]","[0.1193, 0.1203, -0.0581]"
1720611607.286,"[0.1412, 0.112, 0.0148]","[0.0369, 0.045, -0.1212]","[-0.0923, -0.0599, -0.1806]","[-0.0743, -0.0294, -0.021]"
1720611607.302,"[-0.0898, 0.1057, 0.1608]","[0.029, 0.0474, -0.1124]","[-0.2356, -0.0804, -0.1099]","[-0.2208, -0.0689, -0.0372]"
1720611607.317,"[-0.153, -0.163, -0.0396]","[-0.1582, -0.1665, -0.1725]","[-0.2598, -0.2806, -0.0972]","[-0.2447, -0.2781, -0.0047]"
1720611607.317,"[-0.185, -0.1797, -0.0178]","[-0.1801, -0.1919, -0.1449]","[-0.189, -0.2695, -0.1624]","[-0.3158, -0.3063, -0.2783]"
1720611607.333,"[-0.1529, -0.0971, -0.0636]","[-0.0657, -0.0887, -0.0729]","[-0.1593, -0.1608, -0.1225]","[-0.2965, -0.1543, -0.0253]"
1720611607.348,"[-0.1648, -0.1037, -0.0593]","[-0.1684, -0.1127, -0.0814]","[-0.1464, -0.1931, -0.1363]","[-0.2145, -0.2029, -0.049]"
1720611607.355,"[-0.0976, -0.0604, -0.0537]","[-0.1201, -0.0625, -0.1193]","[-0.1308, -0.1466, -0.1508]","[-0.1055, -0.1353, -0.134]"
1720611607.355,"[-0.0748, -0.0347, 0.0136]","[-0.0634, -0.0675, -0.0472]","[-0.0976, -0.1326, -0.0383]","[-0.0434, -0.1103, 0.0519]"
1720611607.371,"[0.2373, -0.0255, 0.0811]","[-0.0641, -0.0214, -0.0011]","[-0.0497, -0.0527, -0.0022]","[-0.047, -0.0225, 0.085]"
1720611607.386,"[-0.0051, 0.0414, 0.1081]","[-0.0512, 0.0111, 0.0278]","[0.0102, -0.0314, 0.0431]","[-0.0474, 0.0055, 0.0627]"
1720611607.386,"[0.0079, 0.0836, 0.0517]","[0.0189, 0.0362, 0.0874]","[0.0707, -0.0064, 0.0735]","[0.0596, 0.0373, 0.0896]"
1720611607.402,"[0.1025, 0.0997, 0.0848]","[0.1248, 0.0555, 0.0892]","[0.1041, 0.0302, 0.0886]","[0.0756, 0.053, 0.0663]"
1720611607.417,"[0.1427, 0.1004, 0.0796]","[0.0865, 0.0687, 0.0563]","[0.1086, 0.0384, 0.0529]","[0.1748, 0.0601, 0.0555]"
1720611607.417,"[0.1951, 0.065, 0.0823]","[0.0621, 0.0672, 0.0348]","[0.0702, 0.0316, 0.0013]","[0.1804, 0.0675, 0.0409]"
1720611607.455,"[0.1411, 0.0851, 0.1313]","[0.0823, 0.0482, 0.0322]","[0.0695, -0.0003, -0.0171]","[0.0765, 0.0965, 0.0354]"
1720611607.455,"[0.1306, 0.1624, 0.1518]","[0.0606, 0.1111, 0.0666]","[0.0422, 0.0397, -0.0142]","[0.0519, 0.0986, 0.083]"
1720611607.455,"[0.0671, 0.075, 0.1695]","[0.0557, 0.0955, 0.0682]","[0.0165, 0.0458, -0.0183]","[0.0168, 0.0673, 0.0595]"
1720611607.455,"[0.114, 0.1411, 0.1365]","[0.0434, 0.0882, 0.0957]","[-0.0122, -0.1517, 0.3192]","[0.1147, 0.0018, 0.0331]"
1720611607.471,"[0.1762, 0.1717, 0.0063]","[0.0394, 0.0084, -0.1084]","[-0.1134, 0.0261, -0.1332]","[0.1271, 0.0303, -0.0195]"
1720611607.487,"[0.0666, 0.1263, 0.0049]","[0.0122, 0.0167, -0.1219]","[-0.0368, -0.0454, -0.2728]","[0.05, 0.0542, 0.0934]"
1720611607.487,"[0.0703, -0.0023, 0.0426]","[0.0035, -0.1702, -0.101]","[-0.0646, -0.1437, -0.2587]","[0.0075, -0.0442, 0.1008]"
1720611607.502,"[0.0786, -0.0617, -0.1574]","[0.0726, -0.1991, -0.2601]","[-0.094, -0.2065, 0.0208]","[0.0225, -0.0474, 0.069]"
1720611607.518,"[0.1508, 0.0466, 0.0234]","[0.0724, -0.1029, -0.0503]","[-0.15, -0.2267, -0.1932]","[-0.045, -0.0543, -0.095]"
1720611607.518,"[0.1505, 0.107, 0.1419]","[-0.0574, -0.0337, -0.0284]","[-0.152, -0.1698, -0.186]","[-0.0332, -0.0184, -0.0517]"
1720611607.534,"[-0.038, 0.099, 0.1313]","[-0.136, -0.0383, -0.0247]","[-0.1916, -0.1552, -0.1365]","[-0.0389, 0.0177, -0.0886]"
1720611607.549,"[0.0287, 0.0781, 0.3557]","[-0.1306, -0.1266, -0.0361]","[-0.1266, -0.1317, -0.1119]","[-0.0127, 0.2254, -0.0098]"
1720611607.556,"[0.0857, 0.185, 0.2142]","[-0.0772, 0.0496, 0.0242]","[0.0015, 0.0068, -0.1062]","[-0.0244, 0.1551, 0.0878]"
1720611607.556,"[0.0941, 0.1878, 0.1347]","[-0.0436, 0.058, 0.0399]","[-0.0099, 0.0119, -0.0762]","[0.0836, 0.1095, 0.0694]"
1720611607.571,"[0.064, 0.0408, 0.0684]","[-0.0666, -0.0685, -0.0415]","[-0.1608, -0.0602, -0.0928]","[0.0274, 0.0606, 0.0422]"
1720611607.587,"[0.0781, -0.0123, 0.066]","[-0.1014, -0.124, -0.0689]","[-0.1276, -0.115, -0.1419]","[0.0053, 0.0048, 0.0044]"
1720611607.603,"[0.0416, -0.0534, 0.0733]","[-0.1146, -0.1586, 0.002]","[-0.2443, -0.1269, -0.0449]","[0.0975, -0.0223, 0.0814]"
1720611607.603,"[0.1551, 0.1101, 0.0253]","[-0.0319, -0.0988, -0.0855]","[-0.185, -0.1239, -0.0385]","[0.0092, 0.0767, 0.0467]"
1720611607.618,"[0.2157, 0.0755, 0.0241]","[-0.0124, -0.1226, -0.0981]","[-0.1672, -0.1515, -0.0682]","[0.0561, 0.0288, 0.0549]"
1720611607.618,"[0.1573, 0.0815, 0.0084]","[-0.0363, -0.1137, -0.1131]","[-0.065, -0.1129, -0.0747]","[0.0881, 0.0692, 0.051]"
1720611607.634,"[0.2148, 0.2237, -0.0132]","[-0.0107, -0.0195, -0.126]","[-0.0975, -0.1422, -0.2157]","[0.1148, 0.0906, -0.0881]"
1720611607.649,"[0.2211, 0.2512, 0.0583]","[0.0116, 0.0761, -0.0722]","[-0.1123, -0.0656, -0.1551]","[0.1032, 0.1069, -0.0475]"
1720611607.656,"[0.1466, 0.3556, 0.2093]","[-0.0089, 0.1146, 0.0314]","[-0.0392, 0.0344, -0.0592]","[0.1593, 0.1462, 0.0934]"
1720611607.656,"[0.2657, 0.2137, 0.1516]","[0.0442, 0.0288, -0.047]","[-0.1466, -0.1486, -0.182]","[0.1004, 0.0213, -0.0125]"
1720611607.672,"[0.287, 0.2588, 0.2672]","[0.07, 0.0604, 0.0695]","[-0.1379, -0.0844, -0.0863]","[-0.0202, 0.1246, 0.0831]"
1720611607.687,"[0.151, 0.0831, 0.0467]","[-0.0253, -0.006, -0.0519]","[-0.1703, -0.1824, -0.1495]","[-0.0004, 0.0478, -0.0312]"
1720611607.687,"[-0.0536, -0.03, 0.0661]","[-0.0623, -0.1583, -0.0304]","[-0.2544, -0.3121, -0.1709]","[-0.1258, -0.1672, -0.0496]"
1720611607.709,"[-0.0864, -0.0783, 0.0211]","[-0.1391, -0.254, -0.1008]","[-0.2591, -0.3398, -0.1786]","[-0.1791, -0.1874, -0.0395]"
1720611607.711,"[-0.1423, -0.147, 0.0714]","[-0.1834, -0.1713, -0.0938]","[-0.2716, -0.2601, -0.1592]","[-0.2048, -0.2324, -0.0102]"
1720611607.727,"[-0.13, -0.2016, 0.0773]","[-0.0804, -0.2643, -0.0504]","[-0.2211, -0.3204, -0.1819]","[-0.2738, -0.2735, -0.019]"
1720611607.727,"[-0.0049, -0.2012, -0.0856]","[-0.0466, -0.2892, -0.1437]","[-0.3017, 0.378, -0.1818]","[-0.2405, -0.376, -0.0728]"
1720611607.742,"[-0.136, -0.1657, -0.218]","[-0.1504, -0.1987, -0.2018]","[-0.2363, -0.3631, -0.3881]","[-0.2339, -0.3099, -0.3943]"
1720611607.772,"[-0.0619, 0.0719, 0.0414]","[-0.172, -0.01, -0.0289]","[-0.272, -0.1841, -0.1248]","[-0.2129, -0.0944, -0.0321]"
1720611607.772,"[-0.0522, -0.1082, 0.0643]","[-0.1162, -0.0512, -0.0469]","[-0.2597, -0.1831, -0.0834]","[-0.1906, -0.1691, -0.0052]"
1720611607.772,"[-0.0761, 0.0711, 0.2028]","[-0.1469, -0.0313, 0.0255]","[-0.1547, -0.126, -0.0413]","[-0.0678, -0.0275, 0.0314]"
1720611607.787,"[0.0088, 0.0405, 0.1505]","[-0.0488, -0.0467, 0.063]","[-0.1341, -0.1365, -0.0662]","[-0.0583, -0.029, 0.0005]"
1720611607.787,"[0.0498, 0.0702, 0.1736]","[-0.0904, -0.051, 0.0217]","[-0.0555, -0.0854, -0.0897]","[0.0257, 0.0127, 0.0002]"
1720611607.803,"[0.0523, 0.0179, 0.1181]","[-0.0474, -0.0163, 0.034]","[-0.082, -0.075, -0.0895]","[-0.0223, -0.0215, -0.0333]"
1720611607.818,"[0.0109, 0.0004, 0.1133]","[-0.0419, -0.0644, 0.0078]","[-0.1078, -0.0921, -0.1509]","[-0.0411, -0.0355, -0.0426]"
1720611607.818,"[0.0753, 0.0277, 0.0405]","[-0.0051, -0.0296, -0.0981]","[-0.0331, -0.0731, -0.1401]","[-0.0273, -0.001, 0.0471]"
1720611607.834,"[0.0613, 0.0836, 0.0392]","[0.0121, -0.0659, -0.1114]","[0.0092, -0.0043, -0.0962]","[0.0426, -0.021, 0.0386]"
1720611607.834,"[0.0823, -0.021, -0.1376]","[0.0017, 0.0713, -0.153]","[-0.0044, -0.1355, -0.1804]","[0.0565, -0.0173, -0.0333]"
1720611607.856,"[0.1092, 0.0388, -0.0937]","[-0.045, -0.1558, -0.1741]","[-0.1412, -0.2202, -0.2652]","[-0.0268, -0.0983, -0.1435]"
1720611607.856,"[0.0287, 0.0194, 0.024]","[-0.0302, -0.0833, -0.15]","[-0.1519, -0.1797, -0.2141]","[-0.0341, -0.0433, -0.0969]"
1720611607.872,"[0.0172, -0.0791, 0.0412]","[-0.0553, -0.0845, -0.1077]","[-0.1066, -0.1849, -0.2211]","[-0.0547, -0.0519, -0.0953]"
1720611607.888,"[0.029, 0.0364, 0.0941]","[-0.0314, -0.0704, 0.0155]","[-0.11, -0.1635, -0.1205]","[-0.0589, -0.0485, 0.0071]"
1720611607.888,"[0.1042, 0.1662, 0.1557]","[0.0409, 0.0314, 0.0264]","[0.0272, 0.0348, -0.0445]","[0.0861, 0.1138, 0.0693]"
1720611607.903,"[0.1389, 0.148, 0.1679]","[0.0615, 0.0668, 0.0322]","[0.0442, 0.0372, -0.0235]","[0.0702, 0.1285, 0.0798]"
1720611607.919,"[0.1598, 0.1531, 0.0146]","[0.0377, 0.0385, -0.1163]","[-0.0206, -0.0024, -0.1499]","[0.1624, 0.1168, -0.0015]"
1720611607.919,"[0.1117, -0.0207, 0.0768]","[-0.0253, 0.0106, -0.1388]","[-0.1139, -0.1923, -0.1647]","[0.0728, -0.0182, -0.0339]"
1720611607.934,"[0.1773, 0.1025, 0.0819]","[-0.045, -0.062, -0.0387]","[-0.1131, -0.11, -0.1034]","[0.0363, -0.0144, -0.0048]"
1720611607.934,"[0.2004, 0.1947, 0.1255]","[0.0372, 0.0184, -0.0451]","[-0.0976, -0.1054, -0.1088]","[0.1251, 0.0452, 0.0239]"
1720611607.957,"[0.2131, 0.1162, 0.1928]","[-0.0312, -0.1052, -0.0011]","[-0.1641, -0.2494, -0.1005]","[0.0674, -0.0437, 0.0653]"
